id,datum,region,altersgruppe,arbeitslosenquote
8,1993-01,Arbeitslosenquote,alle,3.9
1,1993-01,Deutsche Schweiz,25-49 Jahre,3.4
2,1993-01,Deutsche Schweiz,50-64 Jahre,2.6
3,1993-01,Deutsche Schweiz,65 und mehr,1.1
4,1993-01,Westschweiz und Tessin,15-24 Jahre,6.9
5,1993-01,Westschweiz und Tessin,25-49 Jahre,6.1
6,1993-01,Westschweiz und Tessin,50-64 Jahre,4.3
7,1993-01,Westschweiz und Tessin,65 und mehr,2.2
16,1993-02,Arbeitslosenquote,alle,4.1
9,1993-02,Deutsche Schweiz,25-49 Jahre,3.7
10,1993-02,Deutsche Schweiz,50-64 Jahre,2.7
11,1993-02,Deutsche Schweiz,65 und mehr,1.1
12,1993-02,Westschweiz und Tessin,15-24 Jahre,6.9
13,1993-02,Westschweiz und Tessin,25-49 Jahre,6.2
14,1993-02,Westschweiz und Tessin,50-64 Jahre,4.5
15,1993-02,Westschweiz und Tessin,65 und mehr,2.1
24,1993-03,Arbeitslosenquote,alle,4.2
17,1993-03,Deutsche Schweiz,25-49 Jahre,3.8
18,1993-03,Deutsche Schweiz,50-64 Jahre,2.9
19,1993-03,Deutsche Schweiz,65 und mehr,1.1
20,1993-03,Westschweiz und Tessin,15-24 Jahre,6.8
21,1993-03,Westschweiz und Tessin,25-49 Jahre,6.3
22,1993-03,Westschweiz und Tessin,50-64 Jahre,4.6
23,1993-03,Westschweiz und Tessin,65 und mehr,2.1
32,1993-04,Arbeitslosenquote,alle,4.3
25,1993-04,Deutsche Schweiz,25-49 Jahre,3.9
26,1993-04,Deutsche Schweiz,50-64 Jahre,3.0
27,1993-04,Deutsche Schweiz,65 und mehr,1.0
28,1993-04,Westschweiz und Tessin,15-24 Jahre,6.9
29,1993-04,Westschweiz und Tessin,25-49 Jahre,6.5
30,1993-04,Westschweiz und Tessin,50-64 Jahre,4.8
31,1993-04,Westschweiz und Tessin,65 und mehr,2.0
40,1993-05,Arbeitslosenquote,alle,4.3
33,1993-05,Deutsche Schweiz,25-49 Jahre,4.0
